1;G_ECZNY;RZ;Ż
2;G_RNIK;Ó;U
3;P_YJACIEL;RZ;Ż
4;KOLE_ANKA;Ż;RZ
5;M_MIA;U;Ó
6;_ERBATA;H;CH
7;ALKO_OL;H;CH
8;WA_ADŁO;H;CH
9;O_ECH;RZ;Ż
10;LEKA_;RZ;Ż
11;MŁODZIE_;Ż;RZ
12;_SEMKA;Ó;U
13;OG_REK;Ó;U
14;_ABA;Ż;RZ
15;_IRURG;CH;H
16;_UDY;CH;H
17;MU_OMOR;CH;H
18;DŁ_GI;U;Ó
19;WS_WAĆ;U;Ó
20;B_DOWA;U;Ó
21;DU_Y;Ż;RZ
22;D_ŻY;U;Ó
23;SŁ_WKA;Ó;U
24;MAR_EWKA;CH;H
25;S_SZYĆ;U;Ó
26;ROZTW_R;Ó;U
27;P_EBIEG;RZ;Ż
28;P_CZOŁA;SZ;RZ
29;SAMOCH_D;Ó;U
30;SAMO_ÓD;CH;H
31;_ARÓWKA;Ż;RZ
32;ŻAR_WKA;Ó;U
33;KOL_MNA;U;Ó
34;PSE_DONIM;U;Ó
35;MAR_A;Ż;RZ
36;WZ_R;Ó;U
37;_ISTORIA;H;CH
38;U_ĄD;RZ;Ż
39;KA_EŁ;RZ;Ż
40;M_WIĆ;Ó;U
41;K_RS;U;Ó
42;OGR_D;Ó;U
43;POWR_T;Ó;U
44;_ULIGAN;CH;H
45;CH_LIGAN;U;Ó
46;BO_ATER;H;CH
47;MI_D;Ó;U
48;KU_ARZ;CH;H
49;K_CHARZ;U;Ó
50;OK_LARY;U;Ó
51;G_RAL;Ó;U
52;SK_WKA;U;Ó
53;_IPOPOTAM;H;CH
54;_ELAZKO;Ż;RZ
55;_UŚTAWKA;H;CH
56;_AŁAS;H;CH
57;WIE_BA;RZ;Ż
58;_OTEL;H;CH
59;JASK_ŁKA;Ó;U
60;G_YBY;RZ;Ż
